duration_conf,init_conf,jours_confinement,nbIr,nbR,nbS,nb_confinement,pic_max,relesae_conf,seed
47.58308424290599,1.0,48.0,0.0,133.0,67.0,4.0,71.0,18.718248888149137,632846216
45.17630628810734,1.0,34.5,0.0,181.0,19.0,3.0,115.0,43.857962283781255,1105377077
47.58308424290599,1.0,46.75,0.0,126.0,74.0,4.0,55.0,18.718248888149137,1454020314
47.58308424290599,1.0,57.5,0.0,145.0,55.0,5.0,62.0,18.718248888149137,-1123380075
45.17630628810734,1.0,26.5,0.0,179.0,21.0,3.0,137.0,43.857962283781255,-502141529
47.58308424290599,1.0,36.0,0.0,161.0,39.0,3.0,80.0,18.718248888149137,88071937
45.17630628810734,1.0,34.5,0.0,189.0,11.0,3.0,142.0,43.857962283781255,-370021327
45.17630628810734,1.0,34.5,0.0,194.0,6.0,3.0,132.0,43.857962283781255,-1240652038
45.17630628810734,1.0,34.5,0.0,188.0,12.0,3.0,128.0,43.857962283781255,1325974004
45.17630628810734,1.0,34.5,0.0,185.0,15.0,3.0,121.0,43.857962283781255,-1427789038
45.17630628810734,1.0,34.5,0.0,196.0,4.0,3.0,132.0,43.857962283781255,505913599
45.17630628810734,1.0,46.0,0.0,177.0,23.0,4.0,110.0,43.857962283781255,-586100456
45.17630628810734,1.0,28.25,0.0,193.0,7.0,3.0,150.0,43.857962283781255,-130112630
45.17630628810734,1.0,46.0,0.0,195.0,5.0,4.0,115.0,43.857962283781255,-1080164993
45.17630628810734,1.0,34.5,0.0,171.0,29.0,3.0,107.0,43.857962283781255,435662413
45.17630628810734,1.0,46.0,0.0,184.0,16.0,4.0,116.0,43.857962283781255,1536495128
45.17630628810734,1.0,38.75,0.0,190.0,10.0,4.0,124.0,43.857962283781255,-989499791
45.17630628810734,1.0,34.5,0.0,186.0,14.0,3.0,141.0,43.857962283781255,789309670
45.17630628810734,1.0,46.0,0.0,192.0,8.0,4.0,109.0,43.857962283781255,-243399511
45.17630628810734,1.0,38.75,0.0,191.0,9.0,4.0,121.0,43.857962283781255,1930862266
45.17630628810734,1.0,34.5,0.0,196.0,4.0,3.0,118.0,43.857962283781255,-327646600
45.17630628810734,1.0,34.5,0.0,196.0,4.0,3.0,138.0,43.857962283781255,-800977161
45.17630628810734,1.0,37.5,0.0,187.0,13.0,4.0,136.0,43.857962283781255,-1666698061
45.17630628810734,1.0,46.0,0.0,185.0,15.0,4.0,111.0,43.857962283781255,1833066562
45.17630628810734,1.0,40.25,0.0,187.0,13.0,4.0,139.0,43.857962283781255,875282900
45.17630628810734,1.0,46.0,0.0,181.0,19.0,4.0,91.0,43.857962283781255,-2013113291
45.17630628810734,1.0,46.0,0.0,179.0,21.0,4.0,113.0,43.857962283781255,-291089090
45.17630628810734,1.0,46.0,0.0,178.0,22.0,4.0,127.0,43.857962283781255,-343705205
45.17630628810734,1.0,34.5,0.0,190.0,10.0,3.0,138.0,43.857962283781255,-445359249
45.17630628810734,1.0,34.5,0.0,189.0,11.0,3.0,124.0,43.857962283781255,-1641067788
45.17630628810734,1.0,34.5,0.0,190.0,10.0,3.0,136.0,43.857962283781255,-941221337
45.17630628810734,1.0,46.0,0.0,192.0,8.0,4.0,121.0,43.857962283781255,-1999802378
45.17630628810734,1.0,34.5,0.0,192.0,8.0,3.0,146.0,43.857962283781255,1031668670
45.17630628810734,1.0,46.0,0.0,176.0,24.0,4.0,121.0,43.857962283781255,-160089260
45.17630628810734,1.0,34.5,0.0,189.0,11.0,3.0,141.0,43.857962283781255,-763805038
45.17630628810734,1.0,34.5,0.0,187.0,13.0,3.0,127.0,43.857962283781255,-1092898343
