"[run number]","SCENARIO","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","[step]","MaxI%","nb-non-S%","epidemic-duration-final"
"270","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"271","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"272","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"273","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"274","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"276","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"275","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"277","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"278","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"260","Laisser-faire","1","0.5","0.8","152","0.1","0.15","38"
"279","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"280","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"281","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"282","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"283","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"284","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"285","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"286","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"288","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"289","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"290","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"292","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"293","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"294","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"296","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"287","Laisser-faire","1","0.5","0.8","113","0.1","0.1","28"
"295","Laisser-faire","1","0.5","0.8","84","0.1","0.1","21"
"291","Laisser-faire","1","0.5","0.8","107","0.1","0.1","27"
"297","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
