"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V10VersionSite_180520.nlogo"
"Explo_V10_Scenario2"
"05/19/2020 10:06:53:371 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","SCENARIO","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%","population-tested%","total-nb-tests","total-nb-contagious","contagious-detected%","contagious-lockeddown%","proportion-non-contagious-lockeddown%","proportion-total-contagious-lockeddown-tracked","proportion-total-contagious-lockeddown-symptom"
"104","1","0.5","0.3","0","0.95","1","Confinement simple","136","0.05","0.1","34","0.25","0.25","0.05","1","2","50","50","80","0","100"
"105","1","0.5","0.3","0","0.95","1","Confinement simple","136","0.05","0.1","34","0.3","0.3","0.05","1","2","50","100","71.42857142857143","0","100"
"116","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"107","1","0.5","0.3","0","0.95","1","Confinement simple","132","0.05","0.1","33","0.25","0.25","0.05","1","2","50","100","66.66666666666666","0","100"
"120","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"121","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","2","1","100","100","75","0","100"
"123","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"122","1","0.5","0.3","0","0.95","1","Confinement simple","91","0.1","0.1","23","0.15","0.15","0.05","1","2","50","100","50","0","100"
"118","1","0.5","0.3","0","0.95","1","Confinement simple","108","0.1","0.1","27","0.15","0.15","0.05","1","2","50","100","50","0","100"
"125","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"124","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"126","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"128","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"127","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"129","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"130","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"117","1","0.5","0.3","0","0.95","1","Confinement simple","142","0.05","0.1","36","0.15","0.15","0.05","1","2","50","100","50","0","100"
"102","1","0.5","0.3","0","0.95","1","Confinement simple","227","0.1","0.2","57","0.2","0.2","0.05","1","4","25","100","42.857142857142854","0","100"
"132","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"134","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","2","1","100","100","75","0","100"
"135","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"137","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"136","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"139","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.3","0.3","0.05","1","1","100","100","83.33333333333334","0","100"
"140","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
