"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V11VersionSite_250520.nlogo"
"Explo_V11_Scenario-1-2"
"05/26/2020 00:09:04:623 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","fixed-seed?","SCENARIO","Repartition-initiale-des-malades","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%"
"93","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","316","1.3","2.4","79","0","0"
"107","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","196","1.25","1.55","49","0","0"
"100","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","238","1.4000000000000001","1.7000000000000002","60","0","0"
"111","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","132","1","1.05","33","0","0"
"94","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","336","1.15","1.7000000000000002","84","0","0"
"106","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","228","1.05","1.35","57","0","0"
"97","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","300","1.2","1.7999999999999998","75","0","0"
"103","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","272","1.05","1.3","68","0","0"
"112","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","180","1.0999999999999999","1.4500000000000002","45","0","0"
"110","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","204","1.2","1.7000000000000002","51","0","0"
"115","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","179","1","1.4500000000000002","45","0","0"
"109","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","230","1.15","1.5","58","0","0"
"124","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","72","0.8999999999999999","0.8999999999999999","18","0","0"
"114","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","217","1.35","1.8499999999999999","54","0","0"
"120","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","148","1.0999999999999999","1.3","37","0","0"
"121","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","148","1.05","1.15","37","0","0"
"119","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","172","1.15","1.3","43","0","0"
"113","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","266","1.2","1.6500000000000001","67","0","0"
"116","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","242","1.2","1.9","61","0","0"
"122","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","197","1.0999999999999999","1.7000000000000002","49","0","0"
"127","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","120","1.2","1.2","30","0","0"
"117","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","242","1.3","1.7999999999999998","61","0","0"
"125","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","180","1.55","1.9","45","0","0"
"123","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","240","1.3","1.6","60","0","0"
"133","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","140","1.3","1.4000000000000001","35","0","0"
"128","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","188","1.15","1.5","47","0","0"
"129","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","180","1.3","1.5","45","0","0"
"126","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","230","1.2","1.55","58","0","0"
